"participant","trialNum","time"
"101",2,1.81110000000001
"101",2,113.7
"101",2,136.2444
"101",2,201.9773
"101",2,246.0893
"101",2,266.8773
"101",2,287.2003
"101",3,2.58799999999997
"101",3,61.6770000000001
"101",3,117.922
"101",3,146.044
"101",5,1.92300000000023
"101",5,5.83400000000029
"101",5,144.767
"101",5,181.667
"101",5,243.034
"101",5,272.278
"101",7,1.5
"101",7,91.9780000000001
"101",7,151.178
"101",7,342.678
"101",7,359.622
"101",7,388.878
"101",7,438
"101",7,588.433
"101",8,1.36599999999999
"101",8,12.0780000000004
"101",8,46.4549999999999
"101",8,90.1779999999999
"101",8,135.722
"101",8,223.122
"101",8,264.6
"101",8,304.211
"101",8,442.755
"101",8,553.133
"101",9,1.43299999999999
"101",9,87.567
"101",9,235.067
"101",10,1.3779999999997
"101",10,80.6669999999995
"101",10,132.9
"101",11,1.88900000000012
"101",11,145.711
"101",11,153.256
"101",11,278.323
"102",2,1.8334000000001
"102",2,36.6667000000001
"102",2,46.6667000000001
"102",3,1.95499999999993
"102",3,183.6
"102",5,1.98900000000003
"102",5,168.522
"102",7,2.19999999999982
"102",7,41.8229999999999
"102",7,88.4229999999998
"102",7,137.034
"102",7,269.356
"102",7,309.812
"102",7,403.567
"102",7,480.411
"102",7,516.911
"102",7,587.856
"102",8,1.73399999999947
"102",8,21.067
"102",8,134.112
"102",8,183.255999999999
"102",8,235.334
"102",8,286.267
"102",8,337.799999999999
"102",8,365.299999999999
"102",8,465.299999999999
"102",8,560.856
"102",9,2.60000000000036
"102",9,291.933
"102",10,1.78899999999976
"102",10,57.8779999999997
"102",10,122.378
"102",10,182.465999999999
"102",10,243.022
"102",11,2.10000000000036
"103",2,1.56700000000001
"103",2,83.6220000000001
"103",2,183.256
"103",3,2.4340000000002
"103",5,1.96599999999989
"103",5,182.622
"103",7,2.05499999999984
"103",7,181.044
"103",7,361.922
"103",8,2.21100000000024
"103",8,181.456
"103",8,480.167
"103",8,595.745
"103",9,2.01100000000042
"103",9,183
"103",10,1.43299999999999
"103",10,70.1440000000002
"103",11,1.91100000000006
"103",11,84.6880000000001
"103",11,91.8109999999997
"103",11,180.144
"104",2,1.81110000000001
"104",2,22.6333
"104",2,282.1554
"104",3,1.91100000000006
"104",3,183.389
"104",5,1.92200000000003
"104",7,1.72200000000021
"104",7,117.978
"104",7,362.589
"104",7,392.011
"104",7,590.844
"104",7,599.689
"104",8,1.82200000000012
"104",8,255.656
"104",8,599.5
"104",10,1.46699999999964
"104",10,260.656
"104",11,1.22200000000066
"104",11,3.93299999999999
"104",11,114.689
"104",11,167.933
"105",2,1.75549999999998
"105",3,1.70000000000005
"105",3,52.9666000000001
"105",3,256.5111
"105",3,278.1885
"105",5,1.97800000000007
"105",7,1.68899999999985
"105",7,231.734
"105",7,325.456
"105",7,593.712
"105",8,2.28899999999976
"105",8,472.967
"105",9,1.80000000000018
"105",10,1.8779999999997
"105",11,1.96600000000035
"105",11,7.71100000000024
"105",11,144.844
"105",11,274.711
"106",2,1.64400000000001
"106",2,29.789
"106",2,42.655
"106",2,46.722
"106",2,61.6109999999999
"106",2,69.1779999999999
"106",2,76.7670000000001
"106",2,121.422
"106",2,128.655
"106",2,148.589
"106",2,155
"106",2,181.878
"106",2,196.133
"106",2,218.9
"106",2,239.667
"106",2,264.211
"106",2,292.755
"106",3,1.68899999999985
"106",3,143.467
"106",3,199.423
"106",5,1.91100000000006
"106",5,29.4450000000002
"106",5,207.278
"106",7,1.73339999999996
"106",7,179.9111
"106",7,258.6667
"106",7,425.0445
"106",7,504.5556
"106",8,1.93329999999997
"106",8,46.6667
"106",8,65.0222
"106",8,91.7111
"106",8,96.7222
"106",8,230.3333
"106",8,559.6
"106",9,1.44399999999996
"106",9,133.8
"106",10,62.4119999999998
"106",10,229.767
"107",2,1.66599999999994
"107",2,9.87699999999995
"107",2,91.944
"107",3,2.07799999999997
"107",3,92.0450000000001
"107",3,109.211
"107",3,216.256
"107",3,263.211
"107",5,2.08899999999994
"107",5,20.1440000000002
"107",5,217.111
"107",5,284.711
"107",7,1.39999999999964
"107",7,19.933
"107",7,52.1109999999999
"107",7,83.9560000000001
"107",7,123.767
"107",7,156.156
"107",7,214.056
"107",7,303.233
"107",7,330.578
"107",7,356.1
"107",7,364.767
"107",7,391.289
"107",7,567.8
"107",8,1.5
"107",8,12.1559999999999
"107",8,142.178
"107",8,175.011
"107",8,176.456
"107",8,183.034000000001
"107",8,215.833000000001
"107",8,364.878
"107",8,393.3
"107",8,422.922
"107",8,479.267
"107",8,557.156
"107",9,1.27800000000025
"107",9,60.6890000000003
"107",10,2.26699999999983
"107",10,92.2559999999994
"107",10,284.743999999999
"107",11,1.47699999999895
"107",11,17.0659999999989
"107",11,127
"107",11,175.932999999999
"107",11,226.599
"108",2,1.72219999999999
"108",2,268.2889
"108",3,1.77699999999982
"108",5,2.06700000000001
"108",5,11.9559999999999
"108",5,168.1
"108",5,218.323
"108",7,1.96599999999989
"108",7,176.611
"108",7,228.2
"108",7,277.889
"108",7,326.311
"108",7,372.377
"108",7,465.233
"108",8,1.57799999999997
"108",8,48.4670000000001
"108",8,114.978
"108",8,242.778
"108",8,533.467000000001
"108",9,2.03299999999945
"108",9,31.134
"108",9,104.866999999999
"108",9,176.799999999999
"108",10,2.30100000000039
"108",10,105.556
"108",10,113.6
"108",10,246.689
"108",11,1.75500000000011
"108",11,5.65499999999975
"108",11,6.51099999999951
"108",11,8.89999999999964
"108",11,11.2889999999998
"108",11,20.7439999999997
"108",11,28.5779999999995
"108",11,29.6670000000004
"108",11,54.1670000000004
"108",11,55.3440000000001
"108",11,85.4439999999995
"108",11,86.2330000000002
"108",11,88.7669999999998
"108",11,89.6109999999999
"108",11,90.3890000000001
"108",11,91.366
"108",11,124.489
"108",11,125.833
"108",11,140.1
"108",11,182.511
"108",11,220.844
"108",11,247.9
"108",11,249.233
"108",11,265.167
"108",11,278.655
"108",11,288.333
"108",11,289.267
"109",2,1.57780000000002
"109",2,292.3109
"109",3,2.03400000000011
"109",3,25.0890000000002
"109",3,112.8
"109",3,155.289
"109",5,1.71100000000024
"109",5,223.378
"109",5,262.366
"109",7,1.92300000000023
"109",7,21.6559999999999
"109",7,131.478
"109",7,388.456
"109",7,422.6
"109",8,1.52199999999993
"109",8,145.156
"109",8,229.767
"109",8,278.989
"109",8,325.767
"109",8,498.078
"109",8,579.967
"109",10,2.27799999999934
"109",10,147.245
"109",10,183.210999999999
"109",10,237.411
"109",11,1.82300000000032
"109",11,211.134
"110",2,1.9778
"110",3,2.36599999999999
"110",3,77.8890000000001
"110",3,145.033
"110",3,170.6
"110",5,1.61099999999988
"110",5,56.5
"110",7,1.66699999999992
"110",7,7.93299999999999
"110",7,358.544
"110",7,422.822
"110",7,479.411
"110",7,557.756
"110",8,1.4670000000001
"110",8,156.378
"110",8,237.434
"110",8,275.556
"110",8,364.956
